Community Area,num_crimes,Rank
25,274,1
28,243,2
8,224,3
43,213,4
32,181,5
71,172,6
24,158,7
44,158,7
69,136,9
49,130,10
23,130,10
6,116,12
29,116,12
67,110,14
46,104,15
22,103,16
19,100,17
68,99,18
26,98,19
3,90,20
66,89,21
1,85,22
7,85,22
30,83,24
35,81,25
77,79,26
38,78,27
27,75,28
15,75,28
2,71,30
61,71,30
53,71,30
40,70,33
42,67,34
73,63,35
16,61,36
14,61,36
41,58,38
39,54,39
31,53,40
56,51,41
51,48,42
70,47,43
65,44,44
76,43,45
63,42,46
58,41,47
17,41,47
75,40,49
4,39,50
33,36,51
48,35,52
21,35,52
5,34,54
20,31,55
52,31,55
54,29,57
45,29,57
50,27,59
11,26,60
64,26,60
10,26,60
62,25,63
72,25,63
60,23,65
34,19,66
55,19,66
57,18,68
36,18,68
37,17,70
12,17,70
74,13,72
13,13,72
18,12,74
59,11,75
47,9,76
9,6,77
